"codename","en_title","cn_title","stripped_title","en_text","cn_text","stripped_text","advancement_requirement","agenda_points","attribution","base_link","type_codename","subtype_codenames","cost","deck_limit","designed_by","faction_codename","influence_cost","influence_limit","is_unique","memory_cost","minimum_deck_size","pronouns","pronunciation_approx","pronunciation_ipa","side_codename","strength","trash_cost"
"bullfrog","Bullfrog","牛蛙","Bullfrog","[subroutine] You and the Runner secretly spend 0[credit], 1[credit] or 2[credit]. Reveal spent credits. If you and the Runner spent a different number of credits and this ice is installed, move this ice to the outermost position protecting another server. <em>(The run continues from this new position.)</em>","[subroutine] 你和潜袭者秘密花费0[credit]，1[credit]或2[credit]。展示所花费的信用点。如果你和潜袭者花费了不同数量的信用点，转移牛蛙，使其成为保护另一台服务器的最外层防火墙（现在，潜袭者从这个新位置并对这台新服务器继续进行潜袭）。","Subroutine You and the Runner secretly spend 0 credits, 1 credit or 2 credits. Reveal spent credits. If you and the Runner spent a different number of credits and this ice is installed, move this ice to the outermost position protecting another server. (The run continues from this new position.)","","","","","ice","[""code_gate"", ""deflector"", ""psi""]","3","3","fantasy_flight_games","jinteki","2","","False","","","","","","corp","4",""
"bulwark","Bulwark","壁垒","Bulwark","When you rez this ice, take 1 bad publicity.
When the Runner encounters this ice, gain 2[credit] if there is an installed <strong>AI</strong> program.
[subroutine] The Runner trashes 1 installed program.
[subroutine] Gain 2[credit]. End the run.
[subroutine] Gain 2[credit]. End the run.","当你激活壁垒时，拿取1枚负面声誉标记。
当潜袭者遭遇壁垒时，如果有一个已安装的<strong>智能模块</strong>，获得2[credit]。
[subroutine] 潜袭者销毁一个程序。
[subroutine] 公司获得2[credit]。终止本次潜袭。
[subroutine] 公司获得2[credit]。终止本次潜袭。","When you rez this ice, take 1 bad publicity. When the Runner encounters this ice, gain 2 credits if there is an installed AI program. Subroutine The Runner trashes 1 installed program. Subroutine Gain 2 credits. End the run. Subroutine Gain 2 credits. End the run.","","","","","ice","[""barrier"", ""illicit""]","10","3","fantasy_flight_games","weyland_consortium","3","","False","","","","","","corp","8",""
"burke_bugs","Burke Bugs","伯克虫","Burke Bugs","[subroutine] Trace[0]. If successful, the Runner trashes 1 program.","[subroutine] <trace>追踪 0</trace> 如果成功，潜袭者销毁一个程序。","Subroutine Trace[0]. If successful, the Runner trashes 1 program.","","","","","ice","[""sentry"", ""destroyer""]","0","3","fantasy_flight_games","weyland_consortium","1","","False","","","","","","corp","0",""
"burner","Burner","大涂鸦","Burner","Run HQ. If successful, instead of breaching HQ, reveal 3 cards in HQ at random. Add 2 of the revealed cards to the top and/or bottom of R&D.","潜袭总部。如果成功，随机展示总部中的3张卡牌，代替侵入总部。将所展示卡牌中的2张加入研发中心顶端和/或底端。","Run HQ. If successful, instead of breaching HQ, reveal 3 cards in HQ at random. Add 2 of the revealed cards to the top and/or bottom of R&D.","","","","","event","[""run""]","1","3","null_signal_games","shaper","3","","False","","","","","","runner","",""
"business_as_usual","Business As Usual","一切照旧","Business As Usual","Resolve 1 of the following:<ul><li>Place 1 advancement counter on each of up to 2 installed cards you can advance.</li><li>Remove all virus counters from 1 installed card.</li></ul>
Threat 3 → You may also resolve the other mode. <em>(This ability is active if any player has 3 or more agenda points.)</em>","结算下列中的1项:<ul><li>在最多2张你可以推进的已安装的卡牌上各放置1枚推进指示物。</li><li>从1张已安装的卡牌上移除所有病毒指示物。</li></ul>
威胁3 → 你还可以结算另一项。<em>（本能力在任一玩家有3点或更多议案分数时生效。）</em>","Resolve 1 of the following: * Place 1 advancement counter on each of up to 2 installed cards you can advance. * Remove all virus counters from 1 installed card. Threat 3 -> You may also resolve the other mode. (This ability is active if any player has 3 or more agenda points.)","","","","","operation","[""gray_ops""]","0","3","null_signal_games","weyland_consortium","1","","False","","","","","","corp","",""
"buzzsaw","Buzzsaw","电锯","Buzzsaw","Interface → <strong>1[credit]:</strong> Break up to 2 <strong>code gate</strong> subroutines.
<strong>3[credit]:</strong> +1 strength.","对接 → <strong>1[credit]:</strong> 破解最多2条<strong>门禁</strong>子进程。
<strong>3[credit]:</strong> 强度+1。","Interface -> 1 credit: Break up to 2 code gate subroutines. 3 credits: +1 strength.","","","","","program","[""icebreaker"", ""decoder""]","4","3","null_signal_games","anarch","1","","False","1","","","","","runner","3",""
"by_any_means","By Any Means","","By Any Means","Play only as your first [click].
For the remainder of the turn, whenever you access a card not in Archives, trash it and suffer 1 meat damage.","","Play only as your first click. For the remainder of the turn, whenever you access a card not in Archives, trash it and suffer 1 meat damage.","","","","","event","[""priority"", ""sabotage""]","2","3","fantasy_flight_games","anarch","5","","False","","","","","","runner","",""
"c_i_fund","C.I. Fund","资本投资基金","C.I. Fund","When your turn begins, you may move up to 3[credit] from your credit pool to C.I. Fund.
When your turn begins, place 2[credit] on C.I. Fund from the bank if there are at least 6[credit] on it.
2[credit],[trash]: Take all credits from C.I. Fund.","当你的回合开始时，你可以从你的信用池中转移最多3[credit]到资本投资基金上。
当你的回合开始时，如果资本投资基金具有至少6[credit]，从银行中放置2[credit]到本卡牌上。
2[credit], [trash]: 从资本投资基金上拿取所有的信用点。","When your turn begins, you may move up to 3 credits from your credit pool to C.I. Fund. When your turn begins, place 2 credits on C.I. Fund from the bank if there are at least 6 credits on it. 2 credits,trash: Take all credits from C.I. Fund.","","","","","asset","","0","3","fantasy_flight_games","weyland_consortium","1","","False","","","","","","corp","","2"
"cache","Cache","","Cache","Place 3 virus counters on Cache when it is installed.
<strong>Hosted virus counter:</strong> Gain 1[credit].","","Place 3 virus counters on Cache when it is installed. Hosted virus counter: Gain 1 credit.","","","","","program","[""virus""]","1","3","fantasy_flight_games","criminal","1","","False","1","","","","","runner","",""
"caduceus","Caduceus","","Caduceus","[subroutine] Trace[3]. If successful, the Corp gains 3[credit].
[subroutine] Trace[2]. If successful, end the run.","","Subroutine Trace[3]. If successful, the Corp gains 3 credits. Subroutine Trace[2]. If successful, end the run.","","","","","ice","[""sentry"", ""tracer""]","3","3","fantasy_flight_games","weyland_consortium","2","","False","","","","","","corp","3",""
"caldera","Caldera","","Caldera","[interrupt] → <strong>3[credit]:</strong> Prevent 1 core damage or 1 net damage.","","Interrupt -> 3 credits: Prevent 1 core damage or 1 net damage.","","","","","resource","[""virtual""]","3","3","fantasy_flight_games","criminal","1","","False","","","","","","runner","",""
"calibration_testing","Calibration Testing","","Calibration Testing","Remote server only.
<strong>[trash]:</strong> Place 1 advancement counter on a card installed in the root of this server.","","Remote server only. trash: Place 1 advancement counter on a card installed in the root of this server.","","","","","upgrade","[""off_site""]","3","3","fantasy_flight_games","nbn","3","","False","","","","","","corp","","2"
"calling_in_favors","Calling in Favors","召集支援","Calling in Favors","Gain 1[credit] for each installed <strong>connection</strong> resource.","每有一个已安装的<strong>人脉</strong>资源，获得1[credit]。","Gain 1 credit for each installed connection resource.","","","","","event","","0","3","fantasy_flight_games","criminal","1","","False","","","","","","runner","",""
"calvin_b4l3y","Calvin B4L3Y","卡尔文B4L3Y","Calvin B4L3Y","<strong>[click]:</strong> Draw 2 cards. Use this ability only once per turn.
When the Runner trashes this asset, you may draw 2 cards.","[click]<strong>:</strong> 抽2张卡牌。本能力每回合仅限使用一次。
当潜袭者销毁本资产时，你可以抽2张卡牌。","click: Draw 2 cards. Use this ability only once per turn. When the Runner trashes this asset, you may draw 2 cards.","","","","","asset","[""bioroid""]","0","3","null_signal_games","haas_bioroid","1","","True","","","","","","corp","","3"
"capacitor","Capacitor","电容器","Capacitor","While the Runner is tagged, this ice gets +2 strength.
[subroutine] Gain 1[credit] for each tag the Runner has.
[subroutine] End the run.","只要潜袭者被锁定，本防火墙的强度便+2。
[subroutine] 潜袭者每有1枚锁定标记，获得1[credit]。
[subroutine] 终止本次潜袭。","While the Runner is tagged, this ice gets +2 strength. Subroutine Gain 1 credit for each tag the Runner has. Subroutine End the run.","","","","","ice","[""barrier""]","4","3","null_signal_games","nbn","1","","False","","","","","","corp","3",""
"capital_investors","Capital Investors","资本投资人","Capital Investors","[click]: Gain 2[credit].","[click]: 获得2[credit]。","click: Gain 2 credits.","","","","","asset","","2","3","fantasy_flight_games","weyland_consortium","2","","False","","","","","","corp","","2"
"caprice_nisei","Caprice Nisei","柯瑞丝·次代","Caprice Nisei","Whenever the Runner passes all of the ice protecting this server, you and the Runner secretly spend 0[credit], 1[credit], or 2[credit]. Reveal spent credits. If you and the Runner spent a different number of credits, end the run.","每当潜袭者通过保护本服务器的所有防火墙时，你和潜袭者秘密花费0[credit]，1[credit]或2[credit]。展示所花费的信用点。如果你和潜袭者花费了不同数量的信用点，终止本次潜袭。","Whenever the Runner passes all of the ice protecting this server, you and the Runner secretly spend 0 credits, 1 credit, or 2 credits. Reveal spent credits. If you and the Runner spent a different number of credits, end the run.","","","","","upgrade","[""clone"", ""psi""]","2","3","fantasy_flight_games","jinteki","4","","True","","","","","","corp","","1"
"capstone","Capstone","拱顶石","Capstone","[click]: Trash any number of cards from your grip. For each trashed card of which you have another copy installed, draw 1 card.","[click]: 从你的操控器销毁任意数量的卡牌。每销毁一张与你已安装卡牌相同的卡牌，补一张卡牌。","click: Trash any number of cards from your grip. For each trashed card of which you have another copy installed, draw 1 card.","","","","","hardware","","2","3","fantasy_flight_games","shaper","3","","True","","","","","","runner","",""
"captain_padma_isbister_intrepid_explorer","Captain Padma Isbister: Intrepid Explorer","帕德玛·伊斯比斯特船长: 无畏探索者","Captain Padma Isbister: Intrepid Explorer","The first time each turn a run on R&D begins, you may charge 1 of your installed cards. <em>(Add 1 power counter to a card that already has one.)</em>","每回合第一次对研发中心的潜袭开始时，你可以对1张你已安装的卡牌充能。<em>（在一张已经有能量指示物的卡牌上再放置1枚。）</em>","The first time each turn a run on R&D begins, you may charge 1 of your installed cards. (Add 1 power counter to a card that already has one.)","","","","0","runner_identity","[""cyborg""]","","1","null_signal_games","shaper","","15","False","","45","she/her","","","runner","",""
"capybara","Capybara","水豚","Capybara","Whenever you bypass a piece of ice, you may remove this hardware from the game to derez that ice.","每当你略过一层防火墙时，你可以将本硬件移出游戏，以关闭该防火墙。","Whenever you bypass a piece of ice, you may remove this hardware from the game to derez that ice.","","","","","hardware","","2","3","null_signal_games","criminal","2","","True","","","","","","runner","",""
"career_fair","Career Fair","招聘会","Career Fair","Install 1 resource from your grip, paying 3[credit] less.","从你的操控器安装1个资源，其安装费用减3[credit]。","Install 1 resource from your grip, paying 3 credits less.","","","","","event","","0","3","fantasy_flight_games","criminal","1","","False","","","","","","runner","",""
"careful_planning","Careful Planning","精心筹划","Careful Planning","Play only as your first [click].
Choose 1 card installed in the root of or protecting a remote server. That card cannot be rezzed this turn.","仅能在你的第一个[click]打出。
选择一张远程服务器内或保护远程服务器的卡牌。本回合该卡牌不能被激活。","Play only as your first click. Choose 1 card installed in the root of or protecting a remote server. That card cannot be rezzed this turn.","","","","","event","[""priority""]","3","3","fantasy_flight_games","shaper","4","","False","","","","","","runner","",""
"carmen","Carmen","卡门","Carmen","If you made a successful run this turn, this program costs 2[credit] less to install.
Interface → <strong>1[credit]:</strong> Break 1 <strong>sentry</strong> subroutine.
<strong>2[credit]:</strong> +3 strength.","如果你本回合已进行过成功的潜袭，本程序的安装费用减2[credit]。
对接 → <strong>1[credit]:</strong> 破解1条<strong>警报</strong>子进程。
<strong>2[credit]:</strong> 强度+3。","If you made a successful run this turn, this program costs 2 credits less to install. Interface -> 1 credit: Break 1 sentry subroutine. 2 credits: +3 strength.","","","","","program","[""icebreaker"", ""killer""]","5","3","null_signal_games","criminal","2","","False","1","","","","","runner","2",""
"carnivore","Carnivore","肉食动物","Carnivore","+1[mu]
Access → <strong>Trash 2 cards from your grip:</strong> Trash the card you are accessing. Use this ability only once per turn.
Limit 1 <strong>console</strong> per player.","+1[mu]
读取 → <strong>从你的操控器销毁2张卡牌:</strong> 销毁你正在读取的卡牌。本能力每回合仅限使用一次。
每位玩家限制1个<strong>控制台</strong>。","+1 mu Access -> Trash 2 cards from your grip: Trash the card you are accessing. Use this ability only once per turn. Limit 1 console per player.","","","","","hardware","[""console""]","4","3","null_signal_games","anarch","3","","True","","","","","","runner","",""
"carpe_diem","Carpe Diem","时不再来","Carpe Diem","Identify your mark. <em>(If you don’t have a mark, a random central server becomes your mark for this turn.)</em>
Gain 4[credit]. You may run your mark.","发现你的目标。<em>（如果你没有目标，一台随机的中央服务器成为你本回合的目标。）</em>
获得4[credit]。你可以潜袭你的目标。","Identify your mark. (If you dont have a mark, a random central server becomes your mark for this turn.) Gain 4 credits. You may run your mark.","","","","","event","[""run""]","1","3","null_signal_games","criminal","2","","False","","","","","","runner","",""
"casting_call","Casting Call","试镜选角","Casting Call","Install 1 agenda from HQ faceup and host this operation on that agenda as a condition counter with ""Whenever the Runner accesses host agenda, they take 2 tags.""","从总部面朝上安装一个议案，并将试镜选角安装到该议案上，作为所附载的状态指示物，规则文字为“每当潜袭者读取该议案时，他/她拿取2枚锁定标记。”","Install 1 agenda from HQ faceup and host this operation on that agenda as a condition counter with ""Whenever the Runner accesses host agenda, they take 2 tags.""","","","","","operation","[""condition""]","0","3","fantasy_flight_games","nbn","2","","False","","","","","","corp","",""
"cataloguer","Cataloguer","编目器","Cataloguer","When you install this hardware, load 2 power counters onto it. When it is empty, trash it.
Whenever you make a successful run on R&D, instead of breaching R&D, you may remove 1 hosted power counter to look at the top 4 cards of R&D and arrange them in any order.
[click], <strong>hosted power counter:</strong> Breach R&D. Use this ability only if you made a successful run on R&D this turn.","当你安装本硬件时，填装2枚能量指示物到本硬件上。当其清空时，销毁之。
每当你对研发中心进行一次成功的潜袭时，你可以移除1枚所附载的能量指示物，以查看研发中心顶端的4张卡牌并按任意顺序排列它们，代替侵入研发中心。
[click]，<strong>所附载的能量指示物:</strong> 侵入研发中心。只有你本回合已对研发中进行过成功的潜袭时，才能使用本能力。","When you install this hardware, load 2 power counters onto it. When it is empty, trash it. Whenever you make a successful run on R&D, instead of breaching R&D, you may remove 1 hosted power counter to look at the top 4 cards of R&D and arrange them in any order. click, hosted power counter: Breach R&D. Use this ability only if you made a successful run on R&D this turn.","","","","","hardware","","2","3","null_signal_games","shaper","4","","False","","","","","","runner","",""
"cats_cradle","Cat's Cradle","翻花绳","Cat's Cradle","The rez cost of each piece of <strong>code gate</strong> ice is increased by 1[credit].
Interface → <strong>1[credit]:</strong> Break 1 <strong>code gate</strong> subroutine.
<strong>1[credit]:</strong> +1 strength.","每层<strong>门禁</strong>防火墙的激活费用加1[credit]。
对接 → <strong>1[credit]:</strong> 破解1条<strong>门禁</strong>子进程。
<strong>1[credit]:</strong> 强度+1。","The rez cost of each piece of code gate ice is increased by 1 credit. Interface -> 1 credit: Break 1 code gate subroutine. 1 credit: +1 strength.","","","","","program","[""icebreaker"", ""decoder""]","2","3","null_signal_games","criminal","2","","False","1","","","","","runner","1",""
"cayambe_grid","Cayambe Grid","卡扬贝网阵","Cayambe Grid","When your turn begins, place 1 advancement counter on a piece of ice protecting this server.
Whenever the Runner approaches this server, end the run unless they pay 2[credit] for each advanced piece of ice protecting this server.
Limit 1 <strong>region</strong> per server.","当你的回合开始时，放置1枚推进指示物到1层保护本服务器的防火墙上。
每当潜袭者接驳本服务器时，终止本次潜袭，除非潜袭者支付等同于保护本服务器的已推进的防火墙二倍数量的信用点。
每台服务器限制1个<strong>区域</strong>。","When your turn begins, place 1 advancement counter on a piece of ice protecting this server. Whenever the Runner approaches this server, end the run unless they pay 2 credits for each advanced piece of ice protecting this server. Limit 1 region per server.","","","","","upgrade","[""region""]","3","3","null_signal_games","weyland_consortium","3","","False","","","","","","corp","","3"
"cbi_raid","CBI Raid","中央调查局突查","CBI Raid","Run HQ. If successful, instead of breaching HQ, the Corp adds all cards in HQ to the top of R&D in the order of their choice.","对总部进行一次潜袭。如果成功，公司将总部中的所有卡牌按他/她所选择的顺序加入研发中心顶端，代替读取卡牌。","Run HQ. If successful, instead of breaching HQ, the Corp adds all cards in HQ to the top of R&D in the order of their choice.","","","Designed by 2013 World Champion Jens Erickson","","event","[""run"", ""sabotage""]","3","3","fantasy_flight_games","criminal","2","","False","","","","","","runner","",""
"celebrity_gift","Celebrity Gift","名流的馈赠","Celebrity Gift","As an additional cost to play this operation, spend [click].
Reveal up to 5 cards in HQ. Gain 2[credit] for each card you revealed this way.","作为打出本事务的额外费用，花费[click]。
展示总部中的最多5张卡牌。你每以此法展示1张卡牌，获得2[credit]。","As an additional cost to play this operation, spend click. Reveal up to 5 cards in HQ. Gain 2 credits for each card you revealed this way.","","","","","operation","[""double""]","3","3","fantasy_flight_games","jinteki","3","","False","","","","","","corp","",""
"cell_portal","Cell Portal","信元传送门","Cell Portal","[subroutine] The Runner moves to the outermost position of the attacked server. They may jack out. Derez this ice.","[subroutine] 潜袭者接驳到保护被攻击服务器的最外层防火墙。关闭信元传送门。","Subroutine The Runner moves to the outermost position of the attacked server. They may jack out. Derez this ice.","","","","","ice","[""code_gate"", ""deflector""]","5","3","fantasy_flight_games","jinteki","2","","False","","","","","","corp","7",""
"cerberus_cuj_0_h3","Cerberus ""Cuj.0"" H3","三头犬“古卓”H3","Cerberus ""Cuj.0"" H3","When you install this program, place 4 power counters on it.
Interface → <strong>Hosted power counter:</strong> Break up to 2 <strong>sentry</strong> subroutines.
<strong>1[credit]:</strong> +1 strength.","当三头犬“古卓”H3被安装时，放置4枚能量指示物到本卡牌上。
<strong>所附载的能量指示物</strong>: 破解最多2个<strong>警报</strong>子进程。
1[credit]: 强度+1。","When you install this program, place 4 power counters on it. Interface -> Hosted power counter: Break up to 2 sentry subroutines. 1 credit: +1 strength.","","","","","program","[""icebreaker"", ""killer""]","3","3","fantasy_flight_games","anarch","3","","False","1","","","","","runner","0",""
"cerberus_lady_h1","Cerberus ""Lady"" H1","","Cerberus ""Lady"" H1","When you install this program, place 4 power counters on it.
Interface → <strong>Hosted power counter:</strong> Break up to 2 <strong>barrier</strong> subroutines.
<strong>1[credit]:</strong> +1 strength.","","When you install this program, place 4 power counters on it. Interface -> Hosted power counter: Break up to 2 barrier subroutines. 1 credit: +1 strength.","","","","","program","[""icebreaker"", ""fracter""]","4","3","fantasy_flight_games","shaper","3","","False","1","","","","","runner","3",""
"cerberus_rex_h2","Cerberus ""Rex"" H2","三头犬“雷克斯”H2","Cerberus ""Rex"" H2","When you install this program, place 4 power counters on it.
Interface → <strong>Hosted power counter:</strong> Break up to 2 <strong>code gate</strong> subroutines.
<strong>1[credit]:</strong> +1 strength.","当三头犬“雷克斯”H2被安装时，放置4枚能量指示物到本卡牌上。
<strong>所附载的能量指示物</strong>: 破解最多2个<strong>门禁</strong>子进程。
1[credit]: 强度+1。","When you install this program, place 4 power counters on it. Interface -> Hosted power counter: Break up to 2 code gate subroutines. 1 credit: +1 strength.","","","","","program","[""icebreaker"", ""decoder""]","3","3","fantasy_flight_games","criminal","3","","False","1","","","","","runner","1",""
"cerebral_cast","Cerebral Cast","脑层映射","Cerebral Cast","Play only if the Runner made a successful run during their last turn.
You and the Runner secretly spend 0[credit], 1[credit], or 2[credit]. Reveal spent credits. If you and the Runner spent a different number of credits, they must suffer 1 core damage or take 1 tag.","如果潜袭者在他/她的上回合进行过成功的潜袭，才能打出。
你和潜袭者秘密花费0[credit]，1[credit]或2[credit]。展示所花费的信用点。如果你和潜袭者花费了不同数量的信用点，他/她选择受到1点脑部伤害或拿取1枚锁定标记。","Play only if the Runner made a successful run during their last turn. You and the Runner secretly spend 0 credits, 1 credit, or 2 credits. Reveal spent credits. If you and the Runner spent a different number of credits, they must suffer 1 core damage or take 1 tag.","","","","","operation","[""gray_ops"", ""psi""]","1","3","fantasy_flight_games","jinteki","3","","False","","","","","","corp","",""
"cerebral_imaging_infinite_frontiers","Cerebral Imaging: Infinite Frontiers","脑映像: 无限前沿","Cerebral Imaging: Infinite Frontiers","Your maximum hand size is equal to the number of credits in your credit pool.","你的手牌上限等于你信用池中信用点的数量。","Your maximum hand size is equal to the number of credits in your credit pool.","","","","","corp_identity","[""division""]","","1","fantasy_flight_games","haas_bioroid","","15","False","","45","","","","corp","",""
"cerebral_overwriter","Cerebral Overwriter","脑部复写器","Cerebral Overwriter","You can advance this asset.
When the Runner accesses this asset while it is installed, you may pay 3[credit] to do X core damage. X is equal to the number of hosted advancement counters.","你可以推进本资产。
当潜袭者读取已安装的本资产时，你可以花费3[credit]，以造成X点核心伤害。X等于所附载的推进指示物的数量。","You can advance this asset. When the Runner accesses this asset while it is installed, you may pay 3 credits to do X core damage. X is equal to the number of hosted advancement counters.","","","","","asset","[""ambush""]","0","3","fantasy_flight_games","haas_bioroid","2","","False","","","","","","corp","","0"
"cerebral_static","Cerebral Static","脑静态化","Cerebral Static","This operation is not trashed until another <strong>current</strong> is played or an agenda is stolen.
The Runner's identity loses its printed abilities.","本卡牌打出后不会被销毁，直到另一个<strong>局势</strong>被打出或一个议案被窃取。
潜袭者的特性规则文字成为空白。","This operation is not trashed until another current is played or an agenda is stolen. The Runner's identity loses its printed abilities.","","","","","operation","[""current""]","2","3","fantasy_flight_games","jinteki","2","","False","","","","","","corp","",""
"cezve","Cezve","土耳其咖啡壶","Cezve","2[recurring-credit] <em>(When you install this card and before your turn begins, refill to 2 hosted credits.)</em>
You can spend hosted credits during runs on central servers.","2[recurring-credit] <em>（当你安装本卡牌时及你的回合开始前，将所附载的信用点补充至2个。）</em>
你可以在对中央服务器的潜袭中花费所附载的信用点。","2 recurring credits (When you install this card and before your turn begins, refill to 2 hosted credits.) You can spend hosted credits during runs on central servers.","","","","","program","","2","3","null_signal_games","criminal","3","","False","1","","","","","runner","",""
"cfc_excavation_contract","CFC Excavation Contract","","CFC Excavation Contract","When you score CFC Excavation Contract, gain 2[credit] for each rezzed <strong>bioroid</strong>.","","When you score CFC Excavation Contract, gain 2 credits for each rezzed bioroid.","4","2","","","agenda","","","3","fantasy_flight_games","haas_bioroid","","","False","","","","","","corp","",""
"chairman_hiro","Chairman Hiro","宏社长","Chairman Hiro","The Runner gets -2 maximum hand size.
When this asset is trashed from anywhere while being accessed, add it to the Runner's score area as an agenda worth 2 agenda points.","潜袭者的手牌上限减2。
如果宏社长在读取时被销毁，将他加入潜袭者的分数区，作为一个价值2点议案分数的议案。","The Runner gets -2 maximum hand size.
When this asset is trashed from anywhere while being accessed, add it to the Runner's score area as an agenda worth 2 agenda points.","","","","","asset","[""executive""]","2","3","fantasy_flight_games","jinteki","5","","True","","","","","","corp","","6"
"chakana","Chakana","印加十字符","Chakana","Whenever you make a successful run on R&D, place 1 virus counter on Chakana.
If there are at least 3 virus counters on Chakana, the advancement requirement of all agendas is increased by 1.","每当你对研发中心进行一次成功的潜袭时，放置1枚病毒指示物到印加十字符上。
如果印加十字符具有至少3枚病毒指示物，所有议案的推进需求+1。","Whenever you make a successful run on R&D, place 1 virus counter on Chakana. If there are at least 3 virus counters on Chakana, the advancement requirement of all agendas is increased by 1.","","","","","program","[""virus""]","2","3","fantasy_flight_games","shaper","2","","False","1","","","","","runner","",""
"chameleon","Chameleon","变色龙","Chameleon","When you install this program, choose <strong>barrier</strong>, <strong>code gate</strong>, or <strong>sentry</strong>.
When your discard phase ends, add this program to your grip.
Interface → <strong>1[credit]:</strong> Break 1 subroutine on a piece of ice that has the chosen subtype.","当你安装本程序时，选择<strong>屏障</strong>、<strong>门禁</strong>或<strong>或警报</strong>。
当你的弃牌阶段结束时，将本程序加入你的操控器。
对接 → <strong>1[credit]:</strong> 破解一层具有所选择的子类型的防火墙上的1条子进程。","When you install this program, choose barrier, code gate, or sentry. When your discard phase ends, add this program to your grip. Interface -> 1 credit: Break 1 subroutine on a piece of ice that has the chosen subtype.","","","","","program","[""icebreaker""]","2","3","fantasy_flight_games","shaper","3","","False","1","","","","","runner","3",""
"changeling","Changeling","换生灵","Changeling","Changeling can be advanced.
While Changeling has an odd number of advancement tokens on it, it gains <strong>sentry</strong> and loses <strong>barrier</strong>.
[subroutine] End the run.","换生灵能被推进。
当换生灵具有奇数数量的推进标记时，其获得<strong>警报</strong>并失去<strong>屏障</strong>。
[subroutine] 终止本次潜袭。","Changeling can be advanced. While Changeling has an odd number of advancement tokens on it, it gains sentry and loses barrier. Subroutine End the run.","","","","","ice","[""barrier"", ""morph""]","5","3","fantasy_flight_games","weyland_consortium","2","","False","","","","","","corp","4",""
"chaos_theory_wunderkind","Chaos Theory: Wünderkind","","Chaos Theory: Wunderkind","+1[mu]","","+1 mu","","","","0","runner_identity","[""g_mod""]","","1","fantasy_flight_games","shaper","","15","False","","40","","","","runner","",""
"character_assassination","Character Assassination","人格谋杀","Character Assassination","When you score Character Assassination, trash 1 resource (cannot be prevented).","当你用人格谋杀计分时，销毁一个资源（不能被防止）。","When you score Character Assassination, trash 1 resource (cannot be prevented).","4","2","","","agenda","[""security""]","","3","fantasy_flight_games","nbn","","","False","","","","","","corp","",""
"charlatan","Charlatan","假行家","Charlatan","<strong>[click][click]:</strong> Run any server. The first time you approach a rezzed piece of ice during this run, you may pay credits equal to the strength of that ice. If you do, when you encounter that ice after this approach, bypass it.","[click], [click]: 进行一次潜袭。本次潜袭中你第一次接驳一层已激活的防火墙时，你可以支付与该防火墙强度相等的信用点以略过它。","click click: Run any server. The first time you approach a rezzed piece of ice during this run, you may pay credits equal to the strength of that ice. If you do, when you encounter that ice after this approach, bypass it.","","","","","resource","[""virtual""]","5","3","fantasy_flight_games","criminal","4","","False","","","","","","runner","",""
"charlotte_cacador","Charlotte Caçador","夏洛特·卡萨多尔","Charlotte Cacador","You can advance this asset.
When your turn begins, you may remove 1 hosted advancement counter to gain 4[credit] and draw 1 card.
[trash], <strong>hosted advancement counter:</strong> Gain 3[credit].","你可以推进本资产。
当你的回合开始时，你可以移除1枚所附载的推进指示物，以获得4[credit]并抽1张卡牌。
[trash]，<strong>所附载的推进指示物:</strong> 获得3[credit]。","You can advance this asset. When your turn begins, you may remove 1 hosted advancement counter to gain 4 credits and draw 1 card. trash, hosted advancement counter: Gain 3 credits.","","","","","asset","[""clone""]","0","3","null_signal_games","jinteki","2","","True","","","","ka-sa-DORH","kasaˈdoʁ","corp","","2"
"chastushka","Chastushka","恰斯图什卡","Chastushka","Run HQ. If successful, instead of breaching HQ, sabotage 4. <em>(The Corp trashes 4 cards of their choice from HQ and/or the top of R&D.)</em>","潜袭总部。如果成功，破坏4，代替侵入总部。<em>（公司选择从总部和/或研发中心顶端销毁4张卡牌。）</em>","Run HQ. If successful, instead of breaching HQ, sabotage 4. (The Corp trashes 4 cards of their choice from HQ and/or the top of R&D.)","","","","","event","[""run"", ""sabotage""]","3","3","null_signal_games","anarch","4","","False","","","","","","runner","",""
"chatterjee_university","Chatterjee University","查特吉大学","Chatterjee University","[click]: Place 1 power counter on Chatterjee University.
[click]: Install a program from your grip, lowering the install cost by 1 for each power counter on Chatterjee University. Remove 1 hosted power counter.","[click]: 放置1枚能量指示物到查特吉大学上。
[click]: 从你的操控器安装一个程序，查特吉大学上每有1枚能量指示物，该程序的安装费用减1。移除1枚所附载的能量指示物。","click: Place 1 power counter on Chatterjee University. click: Install a program from your grip, lowering the install cost by 1 for each power counter on Chatterjee University. Remove 1 hosted power counter.","","","","","resource","[""location"", ""ritzy""]","1","3","fantasy_flight_games","neutral_runner","0","","True","","","","","","runner","",""
"checkpoint","Checkpoint","检查点","Checkpoint","When you rez Checkpoint, take 1 bad publicity.
[subroutine] Trace[5]. If successful, do 3 meat damage when this run is successful.","当你激活检查点时，拿取1枚负面声誉标记。
[subroutine] <trace>追踪 5</trace> 如果成功，当本次潜袭成功时，造成3点肢体伤害。","When you rez Checkpoint, take 1 bad publicity. Subroutine Trace[5]. If successful, do 3 meat damage when this run is successful.","","","","","ice","[""code_gate"", ""tracer"", ""illicit""]","4","3","fantasy_flight_games","weyland_consortium","2","","False","","","","","","corp","7",""
